,ID,Company,Short_Description,Detailed_Description,Submit_Date,Service_Type
220,INC000000139646,Сколково-менеджмент,медленно работает сервер ,коллеги просьба повлиять на работоспособность терминального сервера подключение устанавливается успешно но сам сервер зависает минут на задумываясь над одной операцией ,1397124514,2.0
221,INC000000139648,Билайн,неисправность на , | карту пробовали перегружать не помогает приложил,1397138480,2.0
222,INC000000139651,ФосАгро-Череповец,шторм транк портов,по многим транковым портам идет какой то шторм периодически коммутаторы теряют пинги и отваливаются например коммутатор порт да и не только на этом этот просто как пример одного из узких мест порты забиваются под мб ,1397168539,2.0
223,INC000000139654,Сколково-менеджмент,легла почта,коллеги доброе утро почта не у кого не работает,1397192458,2.0
224,INC000000139658,Рублев Коммерческий банк,упал туннель,упал туннель,1397203539,2.0
225,INC000000139664,Сколково-менеджмент,не приходит почта от ,с данного адреса пользователь < > не может получить не одного письма и в спаме их нет,1397209627,2.0
226,INC000000139667,ВТБ Банк Армения,отказ сервера на ,начиная с отказ сервера на ,1397213263,2.0
227,INC000000139675,СОГАЗ,недоступность основного ,коллеги добрый день недоступен основной возможно связано с падением домен контроллера в данный момент его работоспособность восстановлена ,1397453866,2.0
228,INC000000139678,СОГАЗ,ошибка спб,у старого сотрудника спб появляется следующая ошибка вложение с уважением радостина галина михайловнастарший диспетчеротдела организации медицинской помощисанкт петербургского филиалаоао согаз спб чугунная ул д тел тел факс ,1397472673,2.0
229,INC000000139680,Макомнет, сломался, [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] > ,1397477696,2.0
230,INC000000139687,ВТБ Банк Армения,не работает телефон ,не работает телефон ,1397541239,2.0
231,INC000000139688,Сколково-менеджмент, проблема с ,коллеги что происходит с [ ] 	 	 	 	 ,1397542565,2.0
232,INC000000139695,ВТБ Банк Армения,проблема с сервером на ,начиная с г сервер на работает очен медленно ,1397549793,2.0
233,INC000000139696,Альянс СК,заявка альянс нижневартовск,добрый день в филиале альянса в г нижневартовске наблюдаются проблемы с сетевым доступом подробности во вложении приоритет высокий ,1397549994,2.0
234,INC000000139702,Сколково-менеджмент,проблемы с ,коллеги почта не обновляется у всех выдает ошибку при входе ,1397557562,2.0
235,INC000000139704,Сколково-менеджмент, ,не работает сервер ,1397567423,2.0
236,INC000000139706,Сколково-менеджмент,отваливается телефон ,номер телефона который постоянно уходил в недолго проработал после сброса настроек снова сегодня ушел в ,1397570748,2.0
238,INC000000139710,Сколково-менеджмент,проверить работу почты,необходимо проверить поступали какие либо письма пользователю года после до если какие либо письма поступали то их необходимо повторно переслать пользователю так же у пользователя нет писем с сегодняшнего дня нет писем просьба проверить не дошедшие письма доставить пользователю ,1397632718,1.0
239,INC000000139712,Джетта Строй,нет доступа к удаленному серверу,удаленный сервер висит нет доступа к удаленному серверу ни у одного из сотрудников просьба принять экстренные меры для устранения проблемы ,1397639338,2.0
240,INC000000139715,Джетта Строй,проблема в установке программы,необходимо устранить сбой возникающий при попытке установки программы дистрибутив находится на диске с удаленного сервера ,1397642537,2.0
241,INC000000139717,Сколково-менеджмент,проблемы с удаленным подключением ,добрый день пользователю был выдан токен для возможности работать удаленно сегодня утром все было хорошо и все работало сейчас коннект происходит но нет возможности пользоваться ресурсами сколково в том числе почтой просьба помочь в настоящий момент пользователь подключен с помощью этого токена его ,1397649163,2.0
242,INC000000139718,МастБанк,незакрытые сессии в таблице трансляций,добрый день в таблице трансляций после закрытия соединения типа клиент с внутренней сети создает соединение на какой либо публичный адрес долгое время продолжают висеть незакрытые сессии например если посмотреть более подробно то т е сессия не закрывается неделями можно ли это как то решить добавлял параметры но никого результата это не принесло правда возможно требуется перезагрузка но делать этого в бою не смогу просьба изложить свои мысли по решению данного вопроса благодарю ,1397649780,1.0
243,INC000000139722,Макомнет,сломалась ,при старте говорит в консоль ~и так по кругу,1397654622,2.0
244,INC000000139730,Макомнет,плохо вращаются вентиляторы ,плохо вращаются вентиляторы ,1397715739,2.0
245,INC000000139745,Билайн, пакетов на интерфейсах ,на интерфейсах идет пакетов просьба помочь установить причину 'а ,1397806596,2.0
246,INC000000139779,Альянс СК,нижегородский филиал оао ск <альянс>,приоритет среднийдобрый день прошу проверить настройки доступа на в филиале оао ск альянс нижний новгород не работает доступ к \ \ > трассировка маршрута к [ ]с максимальным числом прыжков < мс превышен интервал ожидания для запроса превышен интервал ожидания для запроса \ \ > трассировка маршрута к [ ]с максимальным числом прыжков < мс превышен интервал ожидания для запроса превышен интервал ожидания для запроса ,1397823691,2.0
247,INC000000139783,Альянс СК,ск альянс запрос на инфо по ,добрый день коллеги можно попросить вас посмотреть в чем дело шлюз в вел новгороде не отвечает нам по может коммьюнити неправильное а может с проблема если несложно то можете прислать на адрес сергея зубренкова информацию по регионам в каком какой спасибо с уважениемвалерий гарейшин зубренков сергей евгеньевич гарейшин валерий рифович регионов изменить темплейты с на хабаровск уже сделал великий новгород не отвечает по ^ гарейшин валерий рифович ,1397826745,1.0
248,INC000000139788,Альянс СК,ск альянс не пингуются нижневартовск и курган ,ск альянс не пингуются нижневартовск и курган ,1398062153,2.0
249,INC000000139791,Билайн,падение между узлами и ,постоянно падает между указанными узлами | | [ ] [ ] [ ] [ ] [ ] [ ] при этом на транспорте ничего что могло бы вызвать падения не обнаружено единственное что ужалось найти это на интерфейсе на смотрящем в сторону | сигнал в норме | | | < > < > < > < > < > < > < > < > могут ли падения связаны с этими дропами и какова природа этих дропов на самом интерфейсе есть на дропов по нему нет линк не загружен ,1398069023,2.0
250,INC000000139797,Сколково-менеджмент,восстановление конфигурации сетевого оборудования ,заявка постфактум ,1398073829,5.0
251,INC000000139804,Сколково-менеджмент,проблема с сервером, 	 	 	 	 ,1398148010,2.0
252,INC000000139805,Сколково-менеджмент,проблема с телефоном,коллеги проблема с телефоном пишет неверный логин аттач прикрепить н емогу андрей прошу напишите почту отправлю вам скрин,1398148345,2.0
253,INC000000139806,Сколково-менеджмент,проблема с авторизацией,коллеги срочно нужен доступ к в связи с перебоями в работе и не могу авторизоваться просьба оперативно поправить ,1398153374,2.0
254,INC000000139811,Сколково-менеджмент,коллеги проблема вновь актуализируется , ' ' ,1398171527,2.0
255,INC000000139818,Сколково-менеджмент,проблемы с сетевым доступом в с,виолетта григорьева не может достучаться до с см скриншот ,1398237382,2.0
256,INC000000139879,Дойче Банк,отказ супервизора ,добрый день произошел отказ супервизора в коммутаторе необходимо заменить супервизор ,1398240658,2.0
257,INC000000139881,Билайн,возможные проблемы с хождением трафика до ресурсов ,добрый день в настоящий момент на мобильной сети в городах самара саратов нижний новгород и воронеж фиксируется проблема с доступом к ресурсам в частности при этом на фиксированной сети проблем с доступом к ресурсам нет просьба проверить оборудование и уровня в указанных городах а также в москве франкфурте и стокгольме на предмет наличия аномалий в хождении трафика до указанного ресурса ,1398243291,2.0
258,INC000000139883,Сколково-менеджмент,почтовый архив,коллеги у алексея гусева пропал доступ к архиву почты просьба помочь ,1398245357,2.0
259,INC000000139885,Сколково-менеджмент,архив почты ,у пользователя проблемы с открытие архива почты в просьба разобраться,1398246308,2.0
260,INC000000139887,Билайн,падение в ростове,некорректная работа после падение и перезагрузка в ростове в прицепе и кусок лога с событиями во время вываливания сообщений в лог была введена команда после чего рутер не вывел ни строчки но успешно перезагрузился ,1398249043,2.0
261,INC000000139889,Сколково-менеджмент,доступ к архиву в ,коллеги в настоящее время у многих пользователей есть проблемы с просмотром писем из архива это локальная проблема ,1398254270,2.0
262,INC000000139991,СОГАЗ,проблема с рпаспределением вызовов,коллеги добрый день около потерял связь с вызовы начали поступать на все телефоны после рестарта вызовы начали поступать на резервный телефон который доступен при отсутствии агентов в контуре ,1398328687,2.0
263,INC000000139995,ИНТАЧ СТРАХОВАНИЕ, ,добрый день создал разрешающее правило на блюкоте для пользователя на открытие сайта асдк рф после инсталляции политики у пользователя выдается ошибка помогите плз решить проблему спасибо | ,1398334315,1.0
264,INC000000139997,Альянс СК,заявка филиал альянс омск,добрый день в филиале альянса в г омск пропала связь с цо город г омск	 	контактная информацияназвание организации оао ск альянс омский филиал оао ск альянс 	сервисный договор от марта г 	контактное лицо семенов михаил александрович		тел 		моб 		факс 		 	 	описание проблемы и оборудованияне отвечает сервер название устройства модель 		 обязательно при заявке на ремонт оборудования серийный номер 		 обязательно при заявке на ремонт оборудования место расположения омская область г омск ул съездовская д 	,1398343172,2.0
265,INC000000139998,Сколково-менеджмент,не работает соседний телефон,добрый день у нас теперь не работает соседний телефон с тем что заработал после проведения работ вашим сотрудником линк есть но регистрация не заканчивается возможно он попал в другой нужен доступ в 	 	 	 ,1398343994,2.0
266,INC000000140005,Сколково-менеджмент,заявки в степ,с компьютеров нет возможности сделать заявку в вашей системе заявок просьба проконсультировать в чем дело компы подключены по проводу и нурала алексей и бортников сергейчистили кеш куки пробовали через другие браузеры ничего не помогает на других компах с этих же учеток все нормально получается ,1398411262,1.0
267,INC000000140012,СОГАЗ, не работает ,коллеги добрый день со вчерашнего дня не работает в был перезапущен сейчас выдает ошибку с уважением гущин александрглавный специалист управление проектирования корпоративной информационной системы оао согаз тел вн ,1398418629,2.0
268,INC000000140038,Джетта Строй, 	решение проблемы с удаленным доступом, 	решение проблемы с удаленным доступом у сотрудника тел доб ,1398667199,2.0
269,INC000000140040,Дойче Банк,замена ,добрый день возникла проблема с установкой во время установки выяснилось что по на модуле установленно для работы в шасси в шасси с модуль не загружается и уходит в со слов нашего инженера для замены по модуль необходимо установить в шасси с но у нас этого оборудования нет подскажите что можно сделать ,1398667860,1.0
270,INC000000140045,Альянс СК,нет подключения к ресурсам гк,сервисный договор от марта г 	контактное лицо мошкин михаил владимирович	тел 		моб 	факс 		 	 	 	описание проблемы и оборудованиянет подключения к ресурсам гк,1398674544,2.0
271,INC000000140048,Сколково-менеджмент,переадресация почты,коллеги все письма на дублировались на проверьте пожалуйста сейчас это не работает ,1398679724,2.0
272,INC000000140050,Сколково-менеджмент,розетки перестали работать ,коллеги некоторые розетки перестали работать после выключения света просьба проверить например циска на конце порт,1398684756,2.0
273,INC000000140052,Сколково-менеджмент,упала почта необходимо поднять с колен ,упала почта письма не уходят не приходятни через ни через ни через телефон почта на телефонах перестала обновляться еще днем необходима срочная помощь проблема у всех ползователей,1398699898,2.0
274,INC000000140056,Росбанк,периодически теряется связь телефонов со шлюзом гю ,периодически теряется связь телефонов со шлюзом на карте шлюза присутствует аварийный аларм ,1398754337,2.0
276,INC000000140058,Билайн,суть проблема с одним из вентиляторов на ,здравствуйте договор билайнне могу создать запрос в ремеди нет ни привяки к контракту ни оборудованиясуть проблема с одним из вентиляторов на | местоположение г каменск уральский ул ленина с уважением антон кобзев начальник отдела эксплуатации транспортной сетидепартамент эксплуатации сетей связиобособленное подразделение в г екатеринбургзао эрикссон корпорация ао тел тел доб ,1398754952,2.0
277,INC000000140061,Сколково-менеджмент,не слышен голос при разговоре ,телефон работает гудки идут слышны но не слышен голос при разговоре аппарат исправен патч корт в норме необходимо изменить настройки для данного порта номер розетки цискка порт ,1398776587,3.0
278,INC000000140066,Сколково-менеджмент,почта извне,у пользователя оксан чернявская не приходит почта извне так же необходимо проверить отдел а именно анна смирнова дарья манаева екатерина кожевникова любовь назарова ольга федорович татьяна пашкова у некоторых такая же проблема,1398836846,2.0
279,INC000000140070,Билайн,проблема с узлом произошел после ,из ,1398841109,2.0
280,INC000000140071,Сколково-менеджмент,не доступен сервер ,коллеги здравствуйте в коттедже не работает отправка скана по в ошибке говориться что не доступен шлюз электронной почты принтер пингуется печатает подключен в розетку нс пд ,1398842802,2.0
281,INC000000140086,ИНТАЧ СТРАХОВАНИЕ,частично не записываются исходящие вызовы,частично не записываются исходящие вызовы на экран интерфейса выводится ошибка оценочно примерно исходящих вызовов с разных рабочих мест изменений в конфигурацию системы не вносилось перезагрузка не помогла во вложении привожу выдержки из логов 'а с уважением долгов виталийначальник сектора унифицированных решений зао итс ,1399270079,2.0
282,INC000000140089,СИБЭКО,частично не записываются исходящие вызовы,прошу открыть заявку следующего содержания вложение по ней так же прикрепляю к письмучастично не записываются исходящие вызовы на экран интерфейса выводится ошибка оценочно примерно исходящих вызовов с разных рабочих мест изменений в конфигурацию системы не вносилось перезагрузка не помогла во вложении привожу выдержки из логов 'а с уважением долгов виталийначальник сектора унифицированных решений зао итс ,1399275230,2.0
283,INC000000140090,ИнвестторгБанк,проблемы в кц ,коллеги наблюдаются следующие проблемы в кц специалист набирает внутр телефон другого специалиста после чего звонок зависает на ~ секунд тишина после ~ секунд начинаются гудки дозвон 	если набираешь номер а потом нажимаешь кнопку либо гарнитура или динамик дозвон проходит сразу 	но если сначала нажимаешь на кнопку либо гарнтируру или динамик и потом набираешь номер то ожидаешь ~ секунд проблема обнаружена в пятницу когда клиент ожидает на линии и нам необходимо его перевести на другой номер специалисту приходится ожидать ~ секунд до соединения инфо от специалистов звонил на пауза секунд и дальше идет вызов инфо от специалистов делал звонок с номера на номер приблизительно в пауза секунд затем пошел сигнал занято не работает функционал перевод на оценку качества обслуживания клиентов у всех специалистов проблема обнаружена мая с уважением евгений сахаровначальник отдела технической поддержкислужбы клиентской поддержкиакб инвестторгбанк оао раб вн моб ,1399276878,2.0
284,INC000000140180,Джетта Строй,решение проблемы с удаленным доступом,решение проблемы с удаленным доступом у сотрудника тел доб ,1399293235,2.0
285,INC000000140185,МОРГАН ЭНД СТАУТ,проблемы с , 	сигнал незначительной тревогипорт ошибка регистрации причина 	 	сигнал незначительной тревогипорт ошибка регистрации причина 	 	сигнал незначительной тревогипорт ошибка регистрации причина 	 	сигнал незначительной тревогипорт ошибка регистрации причина ,1399359872,2.0
286,INC000000140186,Билайн, ,день добрый заявка на оказание сервисных услуг контактная информация название организации оао вымпелком сервисный договор дс от июня гконтактное лицо андросов андрей описание проблемы и оборудования название устройства модель серийный номер место расположение дополнительная информация перезагрузка не помоглата же проблема была на данном сайте уже несколько раз например заявка не смог открыть заявку в не работает кнопка зарегистрировать кеш чистил спасибо ,1399359970,2.0
289,INC000000140380,Макомнет,при полной загрузке бп работает не корректно ,при полной забивке картами они не стартуют выводится сообщение что карта не прошла диагностику после чего её отключает с другими бп та же работает корректно ,1399370420,2.0
290,INC000000140381,Билайн,сбой ,крэшнулся ,1399374231,2.0
291,INC000000140382,Билайн,сбой ,крэшнулся [ ] ,1399374589,2.0
292,INC000000140388,Сколково-менеджмент,телефон не регистрируется в сети , аппарата конфигурацию проходит на регистрации останавливается просьба осуществить необходимые настройки ,1399390875,3.0
293,INC000000140394,Джетта Строй,удаленный доступ, не работает удаленка у сотрудника внутренний номер ,1399441484,2.0
294,INC000000140395,Сколково-менеджмент,почта не доходит,елена клековкина и нарек матевосян не могут отправить письма на разобраться нужно письма не доходят ,1399447176,2.0
295,INC000000140479,Альянс СК,после подключения оборудования нет интернета,контактное лицо дрендюк павел леонидович тел пока нет моб факс пока нет 	описание проблемы и оборудованияпосле подключения оборудования нет интернета на горит красным при подключении кабеля вх интернета к компьютеру с настройками маска шлюз днс на компьютере есть интернет при подключении через интернета нет на циске горит красным название устройства модель сервер обязательно при заявке на ремонт оборудования серийный номер обязательно при заявке на ремонт оборудования место расположение серверная ,1399454920,2.0
296,INC000000140480,Билайн,выключается карта ,день добрый заявка на оказание сервисных услуг контактная информация название организации оао вымпелком сервисный договор дс от июня гконтактное лицо андросов андрей описание проблемы и оборудованиявыключается карта | название устройства модель серийный номер место расположение дополнительная информация не ясно проблема в карте или в шасси диагностика карты без ошибок авария не критична есть резерв для порта ,1399463104,2.0
297,INC000000140481,МОРГАН ЭНД СТАУТ,проблема с потоком или ,коллеги на что подключен к фабиант на одном из портов скорее всего не работает поток мтс видят можете посмотреть проблема с железом или все таки с потоком физикой в задание с данного потока линии сыпятся завершаюшие коды неверный номер ,1399463240,2.0
298,INC000000140585,Сколково-менеджмент,стационарная телефония,коллеги добрый день отваливаются телефоны номера маки по порядку второй раз за два дня пишет конфигуринг айпи ,1399532232,2.0
299,INC000000140590,Альянс СК,не поднимается с москвой ,добрый день прошу принять заявку в работу приоритет высокий ,1399552405,2.0
300,INC000000140591,Сколково-менеджмент,не работает телефон,коллеги доброе утро за сегодня не работают порты на цисках просьба проверить в чем дело и оперативно устранитьспасибо ,1399871109,2.0
301,INC000000140592,Альянс СК,ни с одной машины не могу зайти на файловый сервер,добрый день прошу принять заявку в работу приоритет высокий заявка на оказание сервисных услуггород кемерово 	контактная информацияназвание организации оао ск альянс пр октябрьский б офис сервисный договор от марта г контактное лицо дрендюк павел леонидвич тел моб факс 	описание проблемы и оборудования нет интернета ни на одной машине ни с одной машины не могу зайти на файловый сервер говорит не синхранизовано время с сервером при загрузке выскакивает ошибка скрипта скрины ошибок во вложении название устройства модель сервер обязательно при заявке на ремонт оборудования серийный номер обязательно при заявке на ремонт оборудования место расположение букреев василийадминистратор сетиоао ск альянс озерковская наб д москва россиятел доб ,1399872246,2.0
302,INC000000140593,ОТП Банк,потеря управления через интерфейс ,администратор внес изменения в конфигурацию для подключения авторизации пользователей через корпоративный сервер в дальнейшем планируется организация корпоративного каталога по учетным записям в после подключения к все локальные ' стали неактивны в результате полностью потеряно управление т к все ' с административными правами заблокированы а у пользователей нет административных прав контакт калядин николайтел доб ,1399873485,2.0
303,INC000000142307,Росгосстрах,ргс ошибки на сервере ,наблюдаются проблемы с заходом на сервер как через клиента так и по при заходе по при выполнении команд периодически выдается следующая ошибка ,1399893079,2.0
304,INC000000153548,МОРГАН ЭНД СТАУТ,другой долг в ,прикладываю заявку другой долг в у нас в есть разговоры с должником там указан совсем другой номер а не тот с которым непосредственно разговор состоялся например запись указанная на скриншоте должна соответствовать разговору от из карточки должника кряжева вера владимировна договора звонок мобильный обещание оплаты нарышкина е а но в записи идет речь о совершенно другой должнице цой наталия договора звонок мобильный с уважением бочкарев евгенийначальник отдела телекоммуникационных технологий о о о доб ,1399963867,2.0
306,INC000000153659,Джетта Строй,вирус в компьютере,требуется срочно наладить компьютер сотрудника сергей черников внутр номер телефона проблема получен вирус который блокирует работу компьютера на экране висит сообщение о том что все файлы компьютера были зашифрованы специальной программой стоимость дешифратора р кроме того необходимо убедиться что вирусом не подвержены остальные компьютеры локальной сети ,1399964785,2.0
307,INC000000153716,Сколково-менеджмент,заявка для ромы артеменко,ошибка в бэкапе подробности в аттаче,1399965289,2.0
308,INC000000154107,Билайн,неисправна карта ,вышла из строя карта для оперативности карту заменили взяв новую из зип просьба заменить неисправную карту ,1399968917,2.0
309,INC000000154328,СОГАЗ,перевод звонка на рп ,коллеги добрый день прошу посмотреть маршрутизацию вызова с номера поступившего около на пульт дмс го вызов был переведен на номер в контуре находились сотрудники в статусе готов однако вызов вернулся обратно на дмс это не единичный случай есть предположение что вызовы не маршрутизируются на группу ,1399970841,2.0
310,INC000000155474,Сколково-менеджмент,заменить в ,в умерло нужно поменять,1399981986,2.0
311,INC000000161936,Сколково-менеджмент,нет доступа к серверу,коллеги сервер отмечен серым цветом в с пометкой необходимо исправить т к не возможно открыть консоль ,1400048917,2.0
312,INC000000162290,Росбанк,проблема с главной переговорной,у нас опять проблема с главной переговорной домников этаж работают только микрофонов из всей конференц системы нужна ваша помощь с уважением селиверстов дмитрийзаместитель начальника отдела отдел сопровождения систем телефонии тел вн факс ,1400053735,2.0
313,INC000000163337,МОРГАН ЭНД СТАУТ,проблема с фабиан ,добрый день у нас проблема с фабиан все процесс запущены но не работает и задания не запускаются с уважением бочкарев евгенийначальник отдела телекоммуникационных технологий о о о доб ,1400071005,2.0
314,INC000000167811,Аджиномото/АГРИ,спам, на не работает в день пропускается десятки тысяч спамапрошу назначить исполнителем тараса диру самого грамотного специалиста из всех с которыми я работал не удалось прикрепить к заявке файл не закрывается окно вложить файл обзор пришлось его закрыть заявка была потеряна,1400127563,2.0
315,INC000000168740,Билайн, не посылает на , не посылает с и не получает от > < при этом с уходят [ ] [ ] > по обновили,1400139241,2.0
316,INC000000168764,Альянс СК,в филиале альянса в г калининград наблюдаются пробле ,добрый день в филиале альянса в г калининград наблюдаются проблемы с доступом к сетевым ресурсам го подробности во вложении приоритет высокий ,1400139493,2.0
317,INC000000168807,Альянс СК, на горит красным ,добрый день прошу принять заявку в работу приоритет высокийзаявка на оказание сервисных услуггород кемерово 	контактная информацияназвание организации оао ск альянс пр октябрьский б офис сервисный договор от марта г контактное лицо дрендюк павел леонидович тел пока нет моб факс пока нет 	описание проблемы и оборудованияпосле подключения оборудования нет интернета на горит красным при подключении кабеля вх интернета к компьютеру с настройками маска шлюз днс на компьютере есть интернет при подключении через интернета нет на циске горит красным название устройства модель сервер обязательно при заявке на ремонт оборудования серийный номер обязательно при заявке на ремонт оборудования место расположение серверная букреев василийадминистратор сетиоао ск альянс озерковская наб д москва россиятел доб ,1400140045,2.0
318,INC000000170449,СОГАЗ,при построении исторического отчета возникает ошибка ,коллеги добрый день при построении исторического отчета отчет по операторам по двум операторам багдасарова е алексеева н группы спб возникает ошибка по другим участникам группы формируется без ошибки так же пишет ошибку с уважением гущин александрглавный специалист управление проектирования корпоративной информационной системы оао согаз тел вн ,1400162589,2.0
319,INC000000174638,Альянс СК,проблема с сургутом,доброе утро коллеги у нас несколько дней не пингуется шлюз в сургуте посмотрите пожалуйста спасибос уважениемвалерий гарейшин письмо в аттаче,1400221722,2.0
320,INC000000174880,Макомнет,сбойно работает ,проблема с через некоторое время после перезагрузки ситуация регулярно повторяется коммутатор перестаёт откликаться по в результате не снимается статистика не сохраняется конфиг и прочее после перезагрузки восстанавливается ненадолго как коммутатор прибор работает через консоль доступ имеется | ,1400225801,2.0
321,INC000000174904,Джетта Строй,восстановление файлов,в продолжение заявки вирус в компьютере после вируса на компьютере сотрудника остались зашифрованы все файлы вордовские экселевские и джипеговские очень желательно их восстановить ,1400226267,5.0
